zipcode,price
75015.0,$90.00
,$115.00
75003,$99.00
75003,$90.00
75010.0,$70.00
75011.0,$115.00
75009.0,$92.00
75015,$60.00
75014.0,$70.00
75015.0,$110.00
75018,$55.00
75013.0,$115.00
75014,$119.00
75018.0,$70.00
75018,$35.00
75012,$120.00
75010.0,$119.00
75002.0,$55.00
750109.0,$95.00
75018.0,$199.00
75017.0,$30.00
75014.0,$65.00
75018.0,$190.00
75018,$59.00
,$13.00
75001,$250.00
75018.0,$85.00
75012.0,$70.00
75011.0,$197.00
75018,$162.00
75001,$90.00
75010.0,$65.00
75011,$115.00
75020.0,$50.00
75005,$120.00
75018,$30.00
75012.0,$69.00
75009.0,$47.00
75017,$159.00
75011,$59.00
75007.0,$200.00
75116,$127.00
75013.0,$62.00
75007.0,$500.00
75002,$85.00
75017,$50.00
75014,$59.00
75004,$60.00
75011,$50.00
75017,$53.00
75005.0,$80.00
75016.0,$150.00
75006,$80.00
75008.0,$290.00
75007.0,$102.00
75018,$45.00
75018,$55.00
75018,$60.00
75015.0,$121.00
75013.0,$65.00
75019.0,$59.00
75014.0,$95.00
75015.0,$40.00
75003.0,$100.00
75010.0,$65.00
75018.0,$80.00
75011,$40.00
75116.0,$265.00
75017.0,$69.00
75020.0,$50.00
75018.0,$200.00
75008.0,$160.00
75006,$175.00
75009,$30.00
75003.0,$45.00
75005,$115.00
75116.0,$90.00
75009.0,$155.00
75011,$70.00
75018,$78.00
75006.0,$100.00
75003.0,$229.00
75020,$50.00
75018,$30.00
75011.0,$125.00
75004,$120.00
75019,$79.00
75010.0,$57.00
75010,$80.00
75001,$250.00
75002,$100.00
75019.0,$40.00
75009.0,$63.00
75019,$30.00
75018,$48.00
75010.0,$100.00
75016.0,$85.00
75017.0,$65.00
75018,$100.00
75015.0,$75.00
75012.0,$61.00
75012.0,$170.00
75012,$60.00
75010.0,$80.00
75011,$90.00
75002,$90.00
75011,$150.00
75005,$55.00
7015.0,$55.00
75018,$50.00
75006,$90.00
75005,$36.00
75018.0,$50.00
75010.0,$80.00
75013,$39.00
75016,$99.00
92240,$80.00
75003.0,$110.00
,$35.00
75002.0,$89.00
75005,$90.00
75006,$420.00
75018,$60.00
75011.0,$45.00
75013.0,$110.00
75015.0,$70.00
75017.0,$51.00
75009,$89.00
75020,$89.00
75012.0,$100.00
75015,$80.00
75008,$185.00
75015.0,$90.00
75003,$148.00
75014,$118.00
75018.0,$49.00
75001.0,$98.00
75009,$52.00
75010,$120.00
75020,$90.00
75009.0,$65.00
75019,$40.00
75011,$75.00
75007,$330.00
75014.0,$35.00
75018.0,$55.00
75116.0,$37.00
75018.0,$85.00
75012,$100.00
75018.0,$59.00
75008,$90.00
75006,$80.00
75015.0,$60.00
75012,$40.00
75020,$50.00
75010,$45.00
75012.0,$100.00
75001.0,$80.00
75010,$94.00
75013.0,$42.00
75019,$50.00
75006.0,$130.00
75017,$120.00
75015.0,$75.00
75019.0,$76.00
75012,$75.00
75014.0,$75.00
75018.0,$68.00
75018,$40.00
75011,$55.00
75015.0,$55.00
75020.0,$125.00
75013,$90.00
75015.0,$75.00
75002.0,$135.00
75014,$43.00
75007,$300.00
75016,$32.00
75016,$60.00
75011.0,$75.00
75116,$60.00
75019.0,$60.00
75116.0,$30.00
75017.0,$87.00
75008.0,$141.00
75018.0,$72.00
75009.0,$60.00
75018,$80.00
75018.0,$35.00
75009,$120.00
75011.0,$40.00
92100.0,$36.00
75016,$299.00
75020.0,$130.00
75006,$89.00
75010.0,$60.00
75010,$80.00
75015,$59.00
75116,$130.00
75020,$50.00
75015.0,$65.00
75116.0,$380.00
75019.0,$49.00
75013.0,$70.00
75014.0,$45.00
75020.0,$85.00
75015.0,$90.00
,$45.00
75003,$299.00
75002,$100.00
75010,$90.00
